69,69,69,69,69,69,69,69,69,75,67,74,69,69,69,69,
69,69,69,69,69,69,69,69,69,75,67,74,69,69,69,69,
72,72,72,72,72,72,72,72,72,76,67,73,72,72,69,69,
15,15,15,15,15,15,15,15,15,15,67,15,15,15,69,69,
67,67,67,67,67,67,67,67,83,67,67,67,67,79,69,69,
67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,
67,67,67,67,67,67,67,67,67,67,67,67,67,67,69,69,
79,67,67,67,67,67,67,67,67,67,67,67,67,79,69,69,
71,71,71,77,67,67,78,71,71,71,71,71,71,71,69,69,
69,69,69,75,67,67,74,69,69,69,69,69,69,69,69,69,
69,69,69,75,67,67,74,69,69,69,69,69,69,69,69,69,
69,69,69,75,67,67,74,69,69,69,69,69,69,69,69,69,
69,69,69,75,67,67,74,69,69,69,69,69,69,69,69,69,
69,69,69,75,67,67,74,69,69,69,69,69,69,69,69,69,
69,69,69,69,71,71,69,69,69,69,69,69,69,69,69,69,
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,
