20,42,20,20,42,20,20,20,20,20,20,20,20,20,20,20,
20,20,20,20,20,20,20,20,42,42,20,20,20,20,20,20,
20,20,20,20,20,20,20,20,20,20,20,20,20,42,42,20,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,42,42,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,20,20,20,20,20,42,42,42,20,20,20,20,20,20,20,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,20,20,20,20,20,20,63,20,20,20,20,42,20,20,20,
20,20,42,42,20,20,20,20,20,20,20,20,42,20,20,20,
20,67,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,20,20,20,20,20,20,20,20,20,20,42,20,42,20,20,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,
20,20,20,20,20,42,20,20,20,20,20,20,20,20,42,20,
68,20,20,42,42,20,20,20,20,20,20,20,20,20,20,20,
68,68,20,20,20,20,20,20,20,20,20,20,20,67,20,20,
